id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"1","abschließen","Verb","","","to lock / to finish","ahp-shlee-sen","Allgemeine Aktivitäten & Verben","aufschließen","Hast du die Tür abgeschlossen?","Have you locked the door?"
"2","die Ahnung","Nomen","die","die Ahnungen","idea / clue","ah-noong","Basiswortschatz & Floskeln","","Ich hatte keine Ahnung, dass du heute Geburtstag hast.","I had no idea that you have a birthday today."
"3","aktiv","Andere","","","active","ahk-teef","Freizeit, Hobbys & Unterhaltung","passiv","Peter ist sehr aktiv und macht viel Sport.","Peter is very active and does a lot of sports."
"4","aktuell","Andere","","","current / up-to-date","ahk-too-el","Basiswortschatz & Floskeln","","Das ist das aktuelle Kinoprogramm.","That is the current cinema program."
"5","als","Andere","","","as / than / when","ahls","Grammatik, Pronomen & Struktur","","Hector ist jünger als seine Schwester.","Hector is younger than his sister."
"6","die Ampel","Nomen","die","die Ampeln","traffic light","ahm-pel","Reise, Verkehr & Mobilität","","Du kannst fahren, die Ampel ist grün.","You can drive, the traffic light is green."
"7","anders","Andere","","","differently / otherwise / different","ahn-ders","Basiswortschatz & Floskeln","genauso","Oliver ist anders als seine Freunde.","Oliver is different from his friends."
"8","die Angst","Nomen","die","die Ängste","fear / anxiety","ahngst","Gefühle, Charakter & Meinung","der Mut","Ich habe Angst vor großen Hunden.","I am afraid of big dogs."
"9","ansehen","Verb","","","to look at / to watch","ahn-zey-en","Allgemeine Aktivitäten & Verben","wegsehen","Darf ich eure Urlaubsfotos ansehen?","May I look at your vacation photos?"
"10","der Anzug","Nomen","der","die Anzüge","suit","ahn-tsook","Einkaufen, Geld & Konsum","","Mein Mann muss sich einen neuen Anzug kaufen.","My husband has to buy a new suit."
"11","die Apotheke","Nomen","die","die Apotheken","pharmacy / chemist's","ah-po-tay-keh","Gesundheit, Körper & Pflege","","Das Medikament bekommen Sie in der Apotheke.","You get the medicine in the pharmacy."
"12","der Apparat","Nomen","der","die Apparate","device / apparatus / telephone","ah-pah-raht","Kommunikation, Medien & Sprache","","Was machen wir mit deinem alten Apparat? Ich habe einen neuen Fotoapparat.","What are we doing with your old device? I have a new camera."
"13","arm","Adjektiv","","","poor","arm","Eigenschaften & Adjektive","reich","Sie haben nicht viel Geld, sie sind arm.","They do not have much money, they are poor."
"14","der Artikel","Nomen","der","die Artikel","article","ar-tee-kel","Kommunikation, Medien & Sprache","","Im Deutschen gibt es drei Artikel: der, die und das. Ich habe in der Zeitung einen interessanten Artikel gelesen.","In German there are three articles: der, die and das. I read an interesting article in the newspaper."
"15","auf jeden Fall","Andere","","","definitely / in any case","owf yey-den fahl","Basiswortschatz & Floskeln","auf keinen Fall","Ich möchte auf jeden Fall den neuen James-Bond-Film sehen. - Wirklich? Ich finde James-Bond-Filme langweilig. Ich sehe ihn auf keinen Fall an!","I definitely want to see the new James Bond movie. - Really? I find James Bond movies boring. I will under no circumstances watch it!"
"16","auf keinen Fall","Andere","","","definitely not / under no circumstances","owf ky-nen fahl","Basiswortschatz & Floskeln","auf jeden Fall","Ich möchte auf jeden Fall den neuen James-Bond-Film sehen. - Wirklich? Ich finde James-Bond-Filme langweilig. Ich sehe ihn auf keinen Fall an!","I definitely want to see the new James Bond movie. - Really? I find James Bond movies boring. I will under no circumstances watch it!"
"17","aufmachen","Verb","","","to open","owf-mah-khen","Allgemeine Aktivitäten & Verben","zumachen","Kannst du bitte die Tür aufmachen?","Can you please open the door?"
"18","aufpassen","Verb","","","to pay attention / to watch out","owf-pahs-sen","Allgemeine Aktivitäten & Verben","","Pass auf, der Teller fällt gleich auf den Boden! Der Babysitter passt heute Abend auf die Kinder auf. Er passt im Unterricht nicht auf.","Watch out, the plate is about to fall on the floor! The babysitter is looking after the children tonight. He does not pay attention in class."
"19","aufregend","Adjektiv","","","exciting / thrilling","owf-rey-gent","Eigenschaften & Adjektive","langweilig","Die letzte Woche war sehr aufregend. Der Film ist nicht besonders aufregend.","The last week was very exciting. The film is not particularly exciting."
"20","aufräumen","Verb","","","to clean up / to tidy up","owf-roy-men","Wohnen, Haus & Haushalt","","Die Kinder müssen ihr Zimmer aufräumen.","The children must clean up their room."
