id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"1","abbiegen","Verb","","","to turn","ahp-bee-gen","Reise, Verkehr & Mobilität","geradeaus fahren","An der nächsten Kreuzung müssen Sie links abbiegen.","At the next intersection you must turn left."
"2","die Abbildung","Nomen","die","die Abbildungen","illustration / figure","ahp-bil-doong","Ausbildung, Schule & Studium","","Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.","In the illustration you can see how to switch on the device."
"3","das Abenteuer","Nomen","das","die Abenteuer","adventure","ah-ben-toy-er","Freizeit, Hobbys & Unterhaltung","der Alltag","Unser Urlaub war ein tolles Abenteuer. Die Kinder lieben Abenteuergeschichten.","Our vacation was a great adventure. The children love adventure stories."
"4","der Abfall","Nomen","der","die Abfälle","trash / rubbish / waste","ahp-fahl","Natur, Umwelt & Tiere","","Werfen Sie den Bioabfall bitte nicht zum normalen Müll.","Please do not throw the organic waste in with the normal trash."
"5","der Abfalleimer","Nomen","der","die Abfalleimer","trash can / rubbish bin","ahp-fahl-i-mer","Natur, Umwelt & Tiere","","Wirf das bitte in den Abfalleimer!","Please throw that into the trash can!"
"6","abheben","Verb","","","to withdraw (money)","ahp-hay-ben","Einkaufen, Geld & Konsum","einzahlen","Für die Reise habe ich 500 Euro von meinem Konto abgehoben.","I withdrew 500 euros from my account for the trip."
"7","das Abitur","Nomen","das","","high school graduation exam / A-levels","ah-bee-toor","Ausbildung, Schule & Studium","","Meine Tochter hat gerade Abitur gemacht.","My daughter just did her high school graduation exam."
"8","das Abonnement","Nomen","das","die Abonnements/e","subscription","ah-bon-ne-mahn","Basiswortschatz & Floskeln","","Ich habe das Abonnement gekündigt.","I have canceled the subscription."
"9","der Abschluss","Nomen","der","die Abschlüsse","degree / graduation / conclusion","ahp-shloos","Ausbildung, Schule & Studium","","Ein guter Schulabschluss ist sehr wichtig.","A good school degree is very important."
"10","der Abschnitt","Nomen","der","die Abschnitte","section / paragraph","ahp-shnit","Ausbildung, Schule & Studium","","Lesen Sie bitte den zweiten Abschnitt.","Please read the second section."
"11","abschreiben","Verb","","","to copy","ahp-shry-ben","Ausbildung, Schule & Studium","","Er hat die Hausaufgaben von mir abgeschrieben.","He copied the homework from me."
"12","die Absicht","Nomen","die","die Absichten","intention / purpose","ahp-zikht","Basiswortschatz & Floskeln","","Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht. Hast du die Absicht zu studieren?","Excuse me please. My daughter did not do that on purpose. Do you have the intention to study?"
"13","abstimmen","Verb","","","to vote","ahp-shtim-men","Staat, Gesellschaft & Dokumente","","Lasst uns über diesen Punkt abstimmen.","Let us vote on this point."
"14","die Abteilung","Nomen","die","die Abteilungen","department","ahp-ty-loong","Arbeit, Beruf & Karriere","","Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.","My friend works in Mrs. Kaufmann's department."
"15","der Abwart","Nomen","der","die Abwarte","caretaker / janitor","ahp-vart","Arbeit, Beruf & Karriere","","Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.","The caretaker helped me to carry the closet into the apartment."
"16","die Abwartin","Nomen","die","die Abwartinnen","caretaker / janitor (female)","ahp-var-tin","Arbeit, Beruf & Karriere","","Die Abwartin hat mir geholfen, den Schrank in die Wohnung zu tragen.","The caretaker helped me carry the closet into the apartment."
"17","abwaschen","Verb","","","to wash up / to do the dishes","ahp-vah-shen","Wohnen, Haus & Haushalt","abtrocknen","Ich muss noch das Geschirr abwaschen.","I still have to wash the dishes."
"18","achten","Verb","","","to pay attention / to respect","akh-ten","Allgemeine Aktivitäten & Verben","ignorieren","Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen.","Please make sure that you lock up when you leave."
"19","Achtung!","Andere","","","Attention! / Watch out!","akh-toong","Reise, Verkehr & Mobilität","","Achtung, hier endet die Straße!","Attention, the street ends here!"
"20","die Aktion","Nomen","die","die Aktionen","action / campaign / initiative","ahk-tsee-on","Staat, Gesellschaft & Dokumente","","Die Stadt sollte eine Aktion für Familien planen.","The city should plan a campaign for families."
"21","aktiv","Adjektiv","","","active","ahk-teef","Freizeit, Hobbys & Unterhaltung","passiv","Ich bin sehr aktiv und mache viel Sport.","I am very active and do a lot of sports."
"22","die Aktivität","Nomen","die","die Aktivitäten","activity","ahk-tee-vee-tayt","Freizeit, Hobbys & Unterhaltung","","In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.","During the holidays, the city offers various leisure activities for children."
"23","akzeptieren","Verb","","","to accept","ahk-tsep-tee-ren","Allgemeine Aktivitäten & Verben","ablehnen","Ich kann diese Bedingungen nicht akzeptieren.","I cannot accept these conditions."
"24","der Alarm","Nomen","der","die Alarme","alarm","ah-larm","Staat, Gesellschaft & Dokumente","","Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.","In case of fire alarm, you must not use the elevators."
"25","der Alkohol","Nomen","der","","alcohol","ahl-ko-hol","Gesundheit, Körper & Pflege","","Du musst die Wunde mit Alkohol reinigen. Nein, danke! Ich trinke keinen Alkohol.","You have to clean the wound with alcohol. No, thank you! I do not drink alcohol."
"26","allerdings","Andere","","","however / though","ahl-ler-dings","Basiswortschatz & Floskeln","","Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.","We can meet tomorrow, however I only have time from noon."
"27","allgemein","Adjektiv","","","general / generally","ahl-ge-mine","Eigenschaften & Adjektive","speziell","Wir haben nur über allgemeine Probleme gesprochen. Es ist allgemein bekannt, dass man hier gut essen kann. Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.","We only talked about general problems. It is generally known that you can eat well here. In general, I am very satisfied with my work."
"28","der Alltag","Nomen","der","","everyday life / daily routine","ahl-tahk","Basiswortschatz & Floskeln","der Feiertag","Das ist mein Alltag: putzen, waschen, kochen.","That is my everyday life: cleaning, washing, cooking."
"29","alltäglich","Adjektiv","","","everyday / ordinary","ahl-tayg-likh","Eigenschaften & Adjektive","außergewöhnlich","Das alltägliche Leben ist manchmal langweilig. Der Roman erzählt eine ganz alltägliche Geschichte.","Everyday life is sometimes boring. The novel tells a very ordinary story."
"30","das Alphabet","Nomen","das","die Alphabete","alphabet","ahl-fah-beyt","Kommunikation, Medien & Sprache","","Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?","How many letters does the alphabet have in your language?"
"31","als ob","Andere","","","as if / as though","ahls op","Grammatik, Pronomen & Struktur","","Er tut so, als ob wir nie darüber gesprochen hätten.","He acts as if we had never talked about it."
"32","das Altenheim","Nomen","das","die Altenheime","nursing home / old people's home","ahl-ten-hyme","Wohnen, Haus & Haushalt","","Die Großeltern unserer Nachbarn sind im Altenheim.","Our neighbors' grandparents are in the nursing home."
"33","alternativ","Adjektiv","","","alternative","ahl-ter-nah-teef","Eigenschaften & Adjektive","","Wir brauchen alternative Energien.","We need alternative energies."
