id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"1","abschließen","Verb","","","to lock / to finish","ahp-shlee-sen","Allgemeine Aktivitäten & Verben","aufschließen","Bitte vergiss nicht, das Fahrrad abzuschließen.","Please don't forget to lock the bike."
"2","die Ahnung","Nomen","die","die Ahnungen","idea / clue","ah-noong","Basiswortschatz & Floskeln","","Hast du eine Ahnung, wie spät es ist?","Do you have any idea what time it is?"
"3","aktiv","Adjektiv","","","active","ahk-teef","Freizeit, Hobbys & Unterhaltung","passiv","Meine Großmutter ist mit achtzig noch sehr aktiv.","My grandmother is still very active at eighty."
"4","aktuell","Andere","","","current / up-to-date","ahk-too-el","Basiswortschatz & Floskeln","","Die aktuellen Nachrichten findest du auf dieser Webseite.","You can find the current news on this website."
"5","als","Andere","","","as / than / when","ahls","Grammatik, Pronomen & Struktur","","Als ich klein war, wohnten wir auf dem Land.","When I was little, we lived in the countryside."
"6","die Ampel","Nomen","die","die Ampeln","traffic light","ahm-pel","Reise, Verkehr & Mobilität","","An der nächsten Ampel müssen Sie nach rechts abbiegen.","At the next traffic light you have to turn right."
"7","anders","Andere","","","differently / otherwise / different","ahn-ders","Basiswortschatz & Floskeln","genauso","Heute mache ich es einmal ganz anders.","Today I'll do it completely differently for once."
"8","die Angst","Nomen","die","die Ängste","fear / anxiety","ahngst","Gefühle, Charakter & Meinung","der Mut","Du brauchst keine Angst zu haben, der Hund ist freundlich.","You don't need to be afraid, the dog is friendly."
"9","ansehen","Verb","","","to look at / to watch","ahn-zey-en","Allgemeine Aktivitäten & Verben","wegsehen","Wollen wir uns heute Abend einen Film ansehen?","Shall we watch a movie this evening?"
"10","der Anzug","Nomen","der","die Anzüge","suit","ahn-tsook","Einkaufen, Geld & Konsum","","Zur Hochzeit trägt er einen dunklen Anzug.","He wears a dark suit to the wedding."
"11","die Apotheke","Nomen","die","die Apotheken","pharmacy / chemist's","ah-po-tay-keh","Gesundheit, Körper & Pflege","","Die Apotheke am Bahnhof hat auch sonntags geöffnet.","The pharmacy at the station is open on Sundays too."
