abbiegen	to turn	Reise & Verkehr	Verb
die Abbildung	illustration / figure	Ausbildung & Lernen	Nomen
das Abenteuer	adventure	Freizeit & Unterhaltung	Nomen
die Abfahrt	departure	Reise & Verkehr	Nomen
der Abfall	trash / rubbish / waste	Wohnen & Haushalt	Nomen
der Abfalleimer	trash can / rubbish bin	Wohnen & Haushalt	Nomen
abheben	to withdraw (money)	Dienstleistungen & Behörden	Verb
das Abitur	high school graduation exam / A-levels	Ausbildung & Lernen	Nomen
das Abonnement	subscription	Zeit, Maße & Basiswortschatz	Nomen
der Abschluss	degree / graduation / conclusion	Arbeit & Beruf	Nomen
der Abschnitt	section / paragraph	Ausbildung & Lernen	Nomen
abschreiben	to copy	Ausbildung & Lernen	Verb
der Absender	sender	Ausbildung & Lernen	Nomen
die Absicht	intention / purpose	Person & Familie	Nomen
abstimmen	to vote	Dienstleistungen & Behörden	Verb
die Abteilung	department	Arbeit & Beruf	Nomen
der Abwart	caretaker / janitor	Arbeit & Beruf	Nomen
die Abwartin	caretaker / janitor (female)	Arbeit & Beruf	Nomen
abwaschen	to wash up / to do the dishes	Wohnen & Haushalt	Verb
achten	to pay attention / to respect	Zeit, Maße & Basiswortschatz	Verb
Achtung!	Attention! / Watch out!	Reise & Verkehr	Andere
die Adresse	address	Ausbildung & Lernen	Nomen
die Ahnung	idea / clue	Ausbildung & Lernen	Nomen
die Aktion	action / campaign / initiative	Dienstleistungen & Behörden	Nomen
aktiv	active	Freizeit & Unterhaltung	Adjektiv
die Aktivität	activity	Freizeit & Unterhaltung	Nomen
akzeptieren	to accept	Ausbildung & Lernen	Verb
der Alarm	alarm	Dienstleistungen & Behörden	Nomen
der Alkohol	alcohol	Gesundheit & Körper	Nomen
allein	alone	Person & Familie	Andere
allerdings	however / though	Ausbildung & Lernen	Andere
allgemein	general / generally	Zeit, Maße & Basiswortschatz	Adjektiv
der Alltag	everyday life / daily routine	Zeit, Maße & Basiswortschatz	Nomen
alltäglich	everyday / ordinary	Zeit, Maße & Basiswortschatz	Adjektiv
das Alphabet	alphabet	Ausbildung & Lernen	Nomen
als	as / when / than	Zeit, Maße & Basiswortschatz	Andere
als ob	as if / as though	Zeit, Maße & Basiswortschatz	Andere
also	so / therefore	Zeit, Maße & Basiswortschatz	Andere
alt	old	Zeit, Maße & Basiswortschatz	Adjektiv
das Altenheim	nursing home / old people's home	Wohnen & Haushalt	Nomen
das Alter	age	Dienstleistungen & Behörden	Nomen
alternativ	alternative	Natur & Umwelt	Adjektiv
die Alternative	alternative	Person & Familie	Nomen
das Altersheim	nursing home / old people's home	Wohnen & Haushalt	Nomen
die Ampel	traffic light	Reise & Verkehr	Nomen
das Amt	office / department / authority	Dienstleistungen & Behörden	Nomen
analysieren	to analyze	Arbeit & Beruf	Verb
der Anbieter	provider / supplier	Ausbildung & Lernen	Nomen
ander- andererseits ändern	other / on the other hand / to change	Gesundheit & Körper	Verb
anders anerkennen	differently / to recognize	Arbeit & Beruf	Verb
der Anfang	beginning / start	Zeit, Maße & Basiswortschatz	Nomen
anfangs angeben	at first / to state (indicate)	Dienstleistungen & Behörden	Verb
die Angabe	information / statement	Dienstleistungen & Behörden	Nomen
der Angehörige	relative / family member (male)	Person & Familie	Nomen
die Angehörige	relative / family member (female)	Person & Familie	Nomen
angenehm	pleasant / agreeable	Person & Familie	Adjektiv
der Angestellte	employee (male)	Arbeit & Beruf	Nomen
die Angestellte	employee (female)	Arbeit & Beruf	Nomen
die Angst	fear / anxiety	Person & Familie	Nomen
anhaben	to wear / to have on	Einkaufen & Konsum	Verb
die Ankunft	arrival	Reise & Verkehr	Nomen
die Anlage	attachment / facility / system	Ausbildung & Lernen	Nomen
die Anleitung	instruction / manual	Ausbildung & Lernen	Nomen
die Anmeldung	registration / application	Ausbildung & Lernen	Nomen
die Annonce	advertisement / ad	Einkaufen & Konsum	Nomen
die Anrede	salutation / form of address	Ausbildung & Lernen	Nomen
der Anruf	phone call / call	Ausbildung & Lernen	Nomen
der Anrufbeantworter	answering machine	Ausbildung & Lernen	Nomen
der Anschluss	connection	Reise & Verkehr	Nomen
der Anspruch	claim / right	Dienstleistungen & Behörden	Nomen
anstrengend	exhausting / strenuous	Arbeit & Beruf	Adjektiv
der Antrag	application / request	Dienstleistungen & Behörden	Nomen
die Antwort	answer / reply	Ausbildung & Lernen	Nomen
der Anwalt	lawyer / attorney	Dienstleistungen & Behörden	Nomen
anwesend	present	Ausbildung & Lernen	Adjektiv
die Anwältin	lawyer / attorney (female)	Arbeit & Beruf	Nomen
die Anzahl	number / quantity	Zeit, Maße & Basiswortschatz	Nomen
die Anzeige	advertisement / ad / report (to police)	Dienstleistungen & Behörden	Nomen
der Anzug	suit	Einkaufen & Konsum	Nomen
das Apartment	apartment / flat	Wohnen & Haushalt	Nomen
der Apfel	apple	Essen & Trinken	Nomen
der Apparat	apparatus / device / telephone	Ausbildung & Lernen	Nomen
der Appetit	appetite	Essen & Trinken	Nomen
die Aprikose	apricot	Essen & Trinken	Nomen
die Arbeit	work / job	Arbeit & Beruf	Nomen
der Arbeiter	worker / laborer	Arbeit & Beruf	Nomen
die Arbeitserlaubnis	work permit	Arbeit & Beruf	Nomen
arbeitslos	unemployed	Arbeit & Beruf	Adjektiv
die Arbeitslosigkeit	unemployment	Arbeit & Beruf	Nomen
der Arbeitsplatz	workplace / job	Arbeit & Beruf	Nomen
die Arbeitsstelle	job / position	Arbeit & Beruf	Nomen
der Architekt	architect (male)	Arbeit & Beruf	Nomen
